Gene,PC1,PC2
ADAMTS1,0.17659318135909582,-0.029069567111771936
AMOT,-0.13534268446609732,0.02689146470996142
ANG,-0.019803610388072816,0.16785806775246404
ANGPT1,-5.52287927843675e-17,1.868790252079346e-17
ANGPT2,-0.08812464237343327,0.18048323936589322
ANGPT4,5.948985789361184e-18,-3.559720740194991e-17
ANGPTL1,-2.4276306921819135e-17,-2.6970074776237407e-17
ANGPTL2,0.012429648506468471,0.017647205799294612
ANGPTL3,-0.028548693168572874,0.07793647748321857
ANGPTL4,0.23252744586005622,-0.08121288827437216
BAI1,0.06448708601969531,0.09226425705498453
CD44,0.19380887783841963,0.0143132731177426
CDH5,0.04634247209341533,0.18973198953429934
CEACAM1,-0.020702933853403323,-0.08423352229150331
CHGA,-0.0,-0.0
COL15A1,-0.009709174856213369,0.21729973052213883
COL18A1,0.122971701710983,0.10216011370654142
COL4A1,0.0854662323277719,0.17676600415746327
COL4A2,0.19422613671461691,0.01674650391700645
COL4A3,-0.0,-0.0
CSF3,0.1663414346444268,-0.02149757549074219
CTGF,0.24027918351482094,-0.05772490013865478
CXCL10,-0.0277238194450149,0.04530588694528075
CXCL12,0.12233552986100175,0.13258428875260864
CXCL2,0.1641257131005278,-0.07704490796406274
ECGF1,0.11601455224849348,0.09103907242169329
EDG1,-0.020072465824999303,0.24148390420434607
EDIL3,0.19476091322985215,-0.09112633155438803
ENPP2,-0.11783077126163766,0.035581109539798476
EPHB2,0.1451449416058077,0.011049177600124293
F2,-0.0,-0.0
FBLN5,0.02953148219334669,0.07329567803637763
FGA,-0.0,-0.0
FGF1,0.04709235718505165,-0.1437794257769084
FGF2,0.06753762112878306,0.19981730869931547
FGF4,-0.0,-0.0
FIGF,-0.004482882165556281,0.108564220718978
FLT1,0.10357768273466524,0.05777686188710547
FLT3,-0.0,-0.0
FLT4,0.09043683984755493,0.04407845187905704
FN1,0.20336682743358683,0.00787674017344177
FOXC2,0.15236863945962428,-0.01847476368229609
FST,-0.038562219912029516,0.02118114565111139
GRN,0.039627389073100386,0.17742667282339109
HEY1,-0.07121413757958175,0.15844960477517242
HGF,-0.08258385506009597,0.021987184719587428
HSPG2,0.19116304701920336,-0.012397099864359813
IFNB1,0.06941945373650893,0.01868892240393746
IFNG,-0.0,-0.0
IL12A,-0.05607759004242538,0.12268968350641361
IL8,0.11455521594962895,0.11424596986298792
ITGA4,0.21246438047187796,-0.04771270674345315
ITGAV,-0.008814132683298158,0.24771963619758447
ITGB3,0.19402580049020293,-0.03015769996662074
KDR,0.045340340052357195,0.18452625020625682
KIT,-0.0004749005870762102,-0.024090437166303005
LECT1,-0.0,-0.0
LEP,-0.0,-0.0
MDK,-0.0624135887866386,0.14963359123467276
MMP2,-0.054617886707326216,-0.006663727919999799
NRP1,0.1605398824796473,0.07108506440481233
NRP2,0.10111785533331408,0.1710887914150564
PDGFB,0.18454144207381645,0.03735678580367271
PDGFRA,-0.10987143254634077,-0.056569951265962405
PDGFRB,0.07254513331610869,-0.08355841257510381
PECAM1,-0.07962187262690104,0.18486198662951298
PF4,-0.08708174937891108,-0.03922613416798258
PLG,-0.0,-0.0
PRL,-0.0,-0.0
PROK1,-0.0,-0.0
PROX1,-0.11172101599685483,0.09905195787361434
PTN,-0.0,-0.0
SEMA3F,0.17775550259061532,-0.006459337411108353
SERPINB5,-0.0,-0.0
SERPINC1,-0.0038683650274744965,-0.13032006068343252
SERPINF1,-0.0,-0.0
TEK,0.07298309060967857,0.21824011093917733
TGFA,0.1338539314549231,-0.0331338043408174
TGFB1,0.1438799500047551,-0.05770651403732004
THBS1,0.20736846603217096,0.004837311491310712
THBS2,-0.0,-0.0
TIE1,0.1306421131090296,-0.03363110105115894
TIMP2,0.026169445634260824,0.15731008623982756
TIMP3,-0.07784195818482276,0.07235081151690345
TNF,-0.029564248137895693,0.15249230341464504
TNFSF15,-0.02537825438559026,0.16438870526840363
TNMD,0.05470383976700867,0.05794630401715405
TNNI1,-0.0,-0.0
VASH1,0.13553836507958664,0.1263775853203713
VEGF,0.14941534049778013,0.0829951636132981
VEGFB,0.00425605242523424,0.21426542414078828
VEGFC,0.04146475182786924,0.2396163325768247
XLKD1,-0.09644476658148912,0.12410466928520059
